COG4747	K01653
COG0458	K01955
COG0505	K01956
COG3137	K07283
COG0367	K01953
COG0677	K13015
COG0381	K01791
COG0274	K01619
COG2357	K07816
COG0566	K03218
COG1184	K18237
COG2078	K09141
COG1355	K06990
COG1286	K03558
COG0010	K01480
COG1945	K02626
COG0136	K00133
COG2859	K09797
COG1186	K02836
COG0787	K01775
COG1190	K04567
COG3321	K15314
COG0316	K13628
COG0720	K01737
COG0417	K02319
COG1205	K06877
COG3166	K02663
COG0327	K22391
COG1579	K07164
COG1042	K01905
COG0608	K07462
COG1545	K07068
COG2022	K03149
COG0502	K01012
COG0467	K08482
COG2373	K06894
COG1521	K03525
COG1654	K03524
COG0340	K03524
COG4770	K17490
COG0624	K01438
COG1879	K10439
COG3934	K19355
COG0604	K00344
COG0534	K03327
COG0531	K03294
COG1149	K03609
COG4802	K17892
COG1720	K22900
COG0507	K03581
COG2021	K00641
COG1736	K07561
COG1283	K03324
COG1100	K06945
COG0152	K01923
COG0015	K01756
COG0101	K06173
COG0619	K16785
COG3418	K02399
COG2063	K02393
COG1261	K02386
COG1757	K03315
COG1476	K07729
COG2249	K00355
COG0716	K00230
COG3360	K09165
COG3023	K01447
COG3727	K07458
COG0326	K04079
COG0270	K00558
COG1212	K00979
COG0504	K01937
COG1585	K07340
COG0631	K20074
COG4172	K02032
COG1123	K02032
COG1646	K17104
COG0179	K16164
COG0834	K02030
COG1443	K01823
COG4968	K02456
COG0700	K06374
COG2715	K06373
COG0328	K03469
COG0728	K03980
COG2256	K07478
COG0310	K02007
COG4871	K00197
COG0119	K01649
COG2080	K03518
COG1319	K03519
COG1062	K00121
COG1198	K04066
COG1743	K07445
COG1413	K22221
COG0058	K16153
COG3181	K07795
COG1484	K02315
COG1373	K07133
COG2831	K07326
COG2909	K03556
COG3886	K17677
COG0044	K01465
COG1748	K19064
COG1163	K06944
COG2062	K08296
COG0150	K01933
COG2033	K05919
COG1528	K02217
COG1027	K01744
COG1071	K21416
COG0022	K11381
COG0508	K00627
COG1126	K02028
COG2003	K03630
COG4942	K22719
COG2189	K07316
COG1881	K06910
COG0475	K03455
COG4623	K18691
COG0529	K00860
COG3635	K15635
COG3018	K09860
COG4680	K19166
COG1663	K00912
COG2121	K09778
COG0763	K00748
COG1690	K14415
COG2070	K02371
COG0217	K18189
COG0817	K01159
COG0632	K03550
COG2255	K03551
COG2230	K00574
COG0715	K02051
COG0600	K02050
COG1116	K02049
COG2378	K13573
COG0469	K00873
COG1299	K02770
COG1445	K02770
COG2502	K01914
COG5525	K21512
COG1033	K07003
COG0390	K02069
COG4103	K05801
COG3301	K04015
COG2896	K03639
COG1342	K06933
COG1064	K13953
COG0145	K01473
COG3866	K01728
COG0190	K01491
COG3527	K01575
COG0736	K00997
COG0320	K03644
COG0686	K00259
COG2839	K09793
COG1087	K12448
COG2980	K03643
COG3712	K07165
COG4252	K01768
COG2114	K01768
COG0242	K01462
COG1862	K03210
COG0343	K00773
COG0557	K12573
COG0216	K02835
COG1778	K03270
COG0794	K06041
COG3117	K11719
COG1934	K09774
COG1137	K06861
COG1508	K03092
COG2518	K00573
COG1803	K01734
COG3062	K02570
COG0655	K03809
COG3497	K06907
COG0464	K13525
COG3500	K06905
COG3628	K06903
COG1902	K00219
COG1505	K01322
COG3428	K08981
COG0402	K12960
COG0041	K01588
COG4869	K15024
COG3830	K07166
COG0213	K00756
COG1410	K00548
COG1401	K07452
COG5147	K07452
COG3525	K12373
COG1621	K01193
COG3669	K01206
COG0383	K01191
COG3828	K09992
COG3509	K03932
COG2152	K20885
COG0694	K22074
COG3450	K06995
COG3668	K19092
COG0662	K16011
COG0717	K01494
COG2832	K09790
COG5544	K05811
COG0553	K03580
COG1002	K07317
COG0827	K07317
COG3604	K02584
COG0732	K01154
COG0610	K01153
COG1483	K06922
COG1228	K01468
COG2987	K01712
COG2891	K03571
COG2104	K03154
COG0352	K00788
COG1715	K07448
COG4468	K00965
COG4630	K13481
COG4631	K13482
COG0498	K01733
COG1351	K03465
COG1139	K18929
COG1804	K07749
COG4096	K01153
COG2310	K05795
COG3903	K16247
COG3655	K07727
COG2262	K03665
COG0590	K11991
COG1861	K07257
COG3914	K09667
COG0146	K01474
COG0303	K03750
COG0315	K03637
COG0521	K03638
COG4946	K08676
COG0785	K06196
COG1512	K06872
COG1704	K03744
COG1912	K22205
COG4948	K01684
COG0110	K00661
COG2044	K07092
COG4666	K21393
COG5001	K21023
COG2268	K07192
